"권역","도시명","구분","물동량"
"수도권","서울","출발","93404"
"영남권","부산","출발","1313504"
"영남권","대구","출발","50782"
"수도권","인천","출발","176803"
"호남권","광주","출발","36722"
"충청권","세종","출발","26410"
"충청권","대전","출발","744614"
"영남권","울산","출발","87049"
"수도권","경기","출발","326228"
"기타","강원","출발","28579"
"충청권","충북","출발","180756"
"충청권","충남","출발","243034"
"호남권","전북","출발","104010"
"호남권","전남","출발","110047"
"영남권","경북","출발","192106"
"영남권","경남","출발","145714"
"기타","제주","출발","0"
"수도권","서울","도착","2579992"
"영남권","부산","도착","499720"
"영남권","대구","도착","151065"
"수도권","인천","도착","644155"
"호남권","광주","도착","222756"
"충청권","세종","도착","328454"
"충청권","대전","도착","744614"
"영남권","울산","도착","178063"
"수도권","경기","도착","4882808"
"기타","강원","도착","1015145"
"충청권","충북","도착","2273988"
"충청권","충남","도착","5077334"
"호남권","전북","도착","1028214"
"호남권","전남","도착","642219"
"영남권","경북","도착","807340"
"영남권","경남","도착","431977"
"기타","제주","도착","0"
