권역,구분,도시명,물동량,code
수도권,출발,서울특별시,93404,11
영남권,출발,부산광역시,1313504,21
영남권,출발,대구광역시,50782,22
수도권,출발,인천광역시,176803,23
호남권,출발,광주광역시,36722,24
충청권,출발,세종특별자치시,26410,29
충청권,출발,대전광역시,744614,25
영남권,출발,울산광역시,87049,26
수도권,출발,경기도,326228,31
기타,출발,강원도,28579,32
충청권,출발,충청북도,180756,33
충청권,출발,충청남도,243034,34
호남권,출발,전라북도,104010,35
호남권,출발,전라남도,110047,36
영남권,출발,경상북도,192106,37
영남권,출발,경상남도,145714,38
기타,출발,제주특별자치도,0,39
수도권,도착,서울특별시,2579992,11
영남권,도착,부산광역시,499720,21
영남권,도착,대구광역시,151065,22
수도권,도착,인천광역시,644155,23
호남권,도착,광주광역시,222756,24
충청권,도착,세종특별자치시,328454,29
충청권,도착,대전광역시,744614,25
영남권,도착,울산광역시,178063,26
수도권,도착,경기도,4882808,31
기타,도착,강원도,1015145,32
충청권,도착,충청북도,2273988,33
충청권,도착,충청남도,5077334,34
호남권,도착,전라북도,1028214,35
호남권,도착,전라남도,642219,36
영남권,도착,경상북도,807340,37
영남권,도착,경상남도,431977,38
기타,도착,제주특별자치도,0,39
