연도,기준지역,대상지역,구분,물동량
2019,대전,서울,출발,173498
2019,대전,부산,출발,1310958
2019,대전,대구,출발,76617
2019,대전,인천,출발,239921
2019,대전,광주,출발,69417
2019,대전,세종,출발,111453
2019,대전,대전,출발,3866207
2019,대전,울산,출발,235116
2019,대전,경기,출발,884474
2019,대전,강원,출발,113745
2019,대전,충북,출발,724716
2019,대전,충남,출발,934311
2019,대전,전북,출발,202801
2019,대전,전남,출발,285561
2019,대전,경북,출발,562870
2019,대전,경남,출발,273715
2019,대전,제주,출발,0
2019,대전,서울,도착,325791
2019,대전,부산,도착,701147
2019,대전,대구,도착,332431
2019,대전,인천,도착,816600
2019,대전,광주,도착,210551
2019,대전,세종,도착,649624
2019,대전,대전,도착,3866207
2019,대전,울산,도착,303950
2019,대전,경기,도착,2587443
2019,대전,강원,도착,625769
2019,대전,충북,도착,1557682
2019,대전,충남,도착,2347961
2019,대전,전북,도착,1989114
2019,대전,전남,도착,1308980
2019,대전,경북,도착,1077966
2019,대전,경남,도착,939013
2019,대전,제주,도착,0
2020,대전,서울,출발,193396
2020,대전,부산,출발,1317637
2020,대전,대구,출발,84226
2020,대전,인천,출발,239712
2020,대전,광주,출발,75339
2020,대전,세종,출발,117059
2020,대전,대전,출발,4042179
2020,대전,울산,출발,249076
2020,대전,경기,출발,922966
2020,대전,강원,출발,119361
2020,대전,충북,출발,754804
2020,대전,충남,출발,964371
2020,대전,전북,출발,210730
2020,대전,전남,출발,328154
2020,대전,경북,출발,582819
2020,대전,경남,출발,288464
2020,대전,제주,출발,0
2020,대전,서울,도착,294377
2020,대전,부산,도착,688262
2020,대전,대구,도착,318716
2020,대전,인천,도착,993047
2020,대전,광주,도착,216503
2020,대전,세종,도착,607431
2020,대전,대전,도착,4042179
2020,대전,울산,도착,175649
2020,대전,경기,도착,2736630
2020,대전,강원,도착,668926
2020,대전,충북,도착,1576999
2020,대전,충남,도착,2535641
2020,대전,전북,도착,1965197
2020,대전,전남,도착,1228904
2020,대전,경북,도착,988440
2020,대전,경남,도착,830463
2020,대전,제주,도착,0
2021,대전,서울,출발,181335
2021,대전,부산,출발,1449224
2021,대전,대구,출발,85756
2021,대전,인천,출발,247595
2021,대전,광주,출발,71934
2021,대전,세종,출발,113024
2021,대전,대전,출발,4041811
2021,대전,울산,출발,219687
2021,대전,경기,출발,871498
2021,대전,강원,출발,113149
2021,대전,충북,출발,712155
2021,대전,충남,출발,876909
2021,대전,전북,출발,193770
2021,대전,전남,출발,272482
2021,대전,경북,출발,560180
2021,대전,경남,출발,287143
2021,대전,제주,출발,0
2021,대전,서울,도착,340934
2021,대전,부산,도착,720759
2021,대전,대구,도착,312078
2021,대전,인천,도착,1041055
2021,대전,광주,도착,226657
2021,대전,세종,도착,597467
2021,대전,대전,도착,4041811
2021,대전,울산,도착,172952
2021,대전,경기,도착,3183600
2021,대전,강원,도착,610815
2021,대전,충북,도착,1615031
2021,대전,충남,도착,2707191
2021,대전,전북,도착,2057164
2021,대전,전남,도착,1236053
2021,대전,경북,도착,954677
2021,대전,경남,도착,765900
2021,대전,제주,도착,0
2022,대전,서울,출발,114558
2022,대전,부산,출발,1324433
2022,대전,대구,출발,59504
2022,대전,인천,출발,183959
2022,대전,광주,출발,42701
2022,대전,세종,출발,33034
2022,대전,대전,출발,908460
2022,대전,울산,출발,91243
2022,대전,경기,출발,369642
2022,대전,강원,출발,37007
2022,대전,충북,출발,224541
2022,대전,충남,출발,276818
2022,대전,전북,출발,128437
2022,대전,전남,출발,124472
2022,대전,경북,출발,209138
2022,대전,경남,출발,168716
2022,대전,제주,출발,0
2022,대전,서울,도착,2727886
2022,대전,부산,도착,524481
2022,대전,대구,도착,188609
2022,대전,인천,도착,641622
2022,대전,광주,도착,234760
2022,대전,세종,도착,326576
2022,대전,대전,도착,908460
2022,대전,울산,도착,176750
2022,대전,경기,도착,5055054
2022,대전,강원,도착,1281678
2022,대전,충북,도착,2282543
2022,대전,충남,도착,2378267
2022,대전,전북,도착,1136717
2022,대전,전남,도착,712396
2022,대전,경북,도착,812770
2022,대전,경남,도착,430383
2022,대전,제주,도착,0
2023,대전,서울,출발,93404
2023,대전,부산,출발,1313504
2023,대전,대구,출발,50782
2023,대전,인천,출발,176803
2023,대전,광주,출발,36722
2023,대전,세종,출발,26410
2023,대전,대전,출발,744614
2023,대전,울산,출발,87049
2023,대전,경기,출발,326228
2023,대전,강원,출발,28579
2023,대전,충북,출발,180756
2023,대전,충남,출발,243034
2023,대전,전북,출발,104010
2023,대전,전남,출발,110047
2023,대전,경북,출발,192106
2023,대전,경남,출발,145714
2023,대전,제주,출발,0
2023,대전,서울,도착,2579992
2023,대전,부산,도착,499720
2023,대전,대구,도착,151065
2023,대전,인천,도착,644155
2023,대전,광주,도착,222756
2023,대전,세종,도착,328454
2023,대전,대전,도착,744614
2023,대전,울산,도착,178063
2023,대전,경기,도착,4882808
2023,대전,강원,도착,1015145
2023,대전,충북,도착,2273988
2023,대전,충남,도착,5077334
2023,대전,전북,도착,1028214
2023,대전,전남,도착,642219
2023,대전,경북,도착,807340
2023,대전,경남,도착,431977
2023,대전,제주,도착,0
