"연도","구분","수도권_물동량","영남권_물동량","충청권_물동량","호남권_물동량","기타_물동량","수도권_비율","영남권_비율","충청권_비율","호남권_비율","기타_비율","Capital_Area_vol","Yeongnam_vol","Chungcheong_vol","Honam_vol","Others_vol","Capital_Area_ratio","Yeongnam_ratio","Chungcheong_ratio","Honam_ratio","Others_ratio"
"2019","출발","1297893","2459276","5636687","557779","113745","12.89","24.43","56.00","5.54","1.13","1297893","2459276","5636687","557779","113745","12.89","24.43","56.00","5.54","1.13"
"2019","도착","3729834","3354507","8421474","3508645","625769","18.99","17.08","42.88","17.86","3.19","3729834","3354507","8421474","3508645","625769","18.99","17.08","42.88","17.86","3.19"
"2020","출발","1356074","2522222","5878413","614223","119361","12.93","24.04","56.04","5.86","1.14","1356074","2522222","5878413","614223","119361","12.93","24.04","56.04","5.86","1.14"
"2020","도착","4024054","3001530","8762250","3410604","668926","20.25","15.11","44.10","17.17","3.37","4024054","3001530","8762250","3410604","668926","20.25","15.11","44.10","17.17","3.37"
"2021","출발","1300428","2601990","5743899","538186","113149","12.63","25.27","55.78","5.23","1.10","1300428","2601990","5743899","538186","113149","12.63","25.27","55.78","5.23","1.10"
"2021","도착","4565589","2926366","8961500","3519874","610815","22.18","14.22","43.54","17.10","2.97","4565589","2926366","8961500","3519874","610815","22.18","14.22","43.54","17.10","2.97"
"2022","출발","668159","1853034","1442853","295610","37007","15.55","43.13","33.58","6.88","0.86","668159","1853034","1442853","295610","37007","15.55","43.13","33.58","6.88","0.86"
"2022","도착","8424562","2132993","5895846","2083873","1281678","42.51","10.76","29.75","10.51","6.47","8424562","2132993","5895846","2083873","1281678","42.51","10.76","29.75","10.51","6.47"
"2023","출발","596435","1789155","1194814","250779","28579","15.45","46.35","30.96","6.50","0.74","596435","1789155","1194814","250779","28579","15.45","46.35","30.96","6.50","0.74"
"2023","도착","8106955","2068165","8424390","1893189","1015145","37.69","9.62","39.17","8.80","4.72","8106955","2068165","8424390","1893189","1015145","37.69","9.62","39.17","8.80","4.72"
